Sign,NN
Crisis,NN
Crisis,NN
body,NN
crematorium,NN
world,NN
outbreak,NN
capital,NN
smell,NN
air,NN
evening,NN
crematorium,NN
suburb,NN
“,NN
life,NN
pass,NN
area,NN
day,NN
resident,NN
“,NN
mass,NN
death,NN
world,NN
democracy,NN
body,NN
aid,NN
breath,NN
infection,NN
community,NN
health,NN
worker,NN
“,NN
value,NN
”,NN
crematorium,NN
body,NN
sister-in-law,NN
devastation,NN
school,NN
campaign,NN
trail,NN
winter,NN
discontent,NN
summer,NN
bank,NN
bulletin,NN
day,NN
spirit,NN
secure,NN
cricket,NN
field,NN
pandemic,NN
mindset,NN
ebullience,NN
resolution,NN
leadership,NN
nation,NN
fight,NN
s,NN
crisis,NN
scale,NN
anything,NN
total,NN
day,NN
death,NN
toll,NN
epidemiologist,NN
caseload,NN
modeling,NN
wave,NN
health,NN
system,NN
brink,NN
collapse,NN
country,NN
oxygen,NN
remdesivir,NN
struggle,NN
crisis,NN
country,NN
director,NN
general,NN
pandemic,NN
inferno,NN
“,NN
part,NN
rest,NN
burning.,NN
”,NN
metal,NN
isn,NN
oxygen,NN
temple,NN
volunteer,NN
woman,NN
patient,NN
father,NN
casualty,NN
ward,NN
world,NN
year,NN
lockdown,NN
exodus,NN
route,NN
economy,NN
hardest-hit,NN
pandemic,NN
lockdown,NN
day,NN
curve,NN
emerged,NN
herd,NN
immunity,NN
population—the,NN
age,NN
%,NN
fact,NN
%,NN
population,NN
time,NN
account,NN
scale,NN
crisis,NN
lack,NN
sequencing,NN
dean,NN
surge,NN
virus,NN
underfunding,NN
health,NN
system,NN
surge,NN
health,NN
care,NN
spending,NN
%,NN
world,NN
%,NN
%,NN
%,NN
%,NN
health,NN
care,NN
spending,NN
government,NN
rest,NN
health,NN
virologist,NN
public-policy,NN
researcher,NN
facility,NN
oxygen,NN
crisis,NN
government,NN
virus,NN
way,NN
virus,NN
expert,NN
complacency,NN
year,NN
messaging,NN
virus,NN
pristine,NN
prey,NN
virus,NN
spring,NN
complacency,NN
government,NN
mentality,NN
s,NN
data,NN
news,NN
“,NN
government,NN
’,NN
t,NN
anything,NN
‘,NN
Failure,NN
public-health,NN
messaging,NN
mass,NN
mask,NN
wearing,NN
opposite,NN
mass,NN
pilgrimage,NN
town—an,NN
event,NN
superspreader,NN
history,NN
humanity.,NN
”,NN
country,NN
world,NN
rally,NN
”,NN
crowd,NN
insistence,NN
principle,NN
self-reliance,NN
’,NN
s,NN
favor,NN
meantime,NN
government,NN
heft,NN
pharmacy,NN
world,NN
exporting,NN
%,NN
population,NN
day,NN
policy,NN
complacency,NN
scenario,NN
president,NN
“,NN
scale,NN
lack,NN
preparedness,NN
crowding,NN
pursuit,NN
power,NN
mass,NN
cremation,NN
site,NN
lie,NN
terrace,NN
building,NN
crematorium,NN
man,NN
family,NN
turn,NN
body,NN
pandemic,NN
tone,NN
oxygen,NN
offering,NN
support,NN
test,NN
oxygen,NN
ban,NN
export,NN
production,NN
term,NN
emergency,NN
disaster,NN
